ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,confidence_level,confidence_score,match_quality
12132,Strategic planning manager,MANAGERS,12936,8185,19546,0.4603,0.9715,0.7601,0.7340,0.0096,very_low,0.3399,high,ai_leveraged,high,0.8667,direct
13241,Supply and distribution/Logistics/Warehousing manager,MANAGERS,6650,5050,9882,0.6289,0.8788,0.4961,0.8263,0.0630,low,0.2742,moderate,ai_leveraged,high,0.7667,direct
13291,Technical/Engineering services manager (excluding transport),MANAGERS,8684,6034,12391,0.5985,0.8690,0.5578,0.8048,0.0631,low,0.2901,moderate,ai_leveraged,high,0.7188,direct
12123,Training manager,MANAGERS,5960,5214,7270,0.7461,0.7219,0.3794,0.8672,0.1799,moderate,0.2044,moderate,ai_leveraged,high,0.7667,direct
13243,Transport/Technical operations manager (except port/shipping operations),MANAGERS,7679,5381,12650,0.6289,0.8788,0.5553,0.8056,0.0614,low,0.3069,high,ai_leveraged,high,0.7667,direct
14392,Travel agency manager,MANAGERS,7770,5630,11580,0.5228,0.7799,0.5346,0.8129,0.0936,low,0.2180,moderate,ai_leveraged,high,0.7470,direct
14324,Wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage),MANAGERS,5635,3800,8725,0.3203,0.6569,0.5182,0.8186,0.0900,low,0.1090,low,stable,medium,0.4333,direct
14202,Wholesale trade manager,MANAGERS,8905,6199,14500,0.5448,0.7585,0.5935,0.7923,0.1043,low,0.2452,moderate,ai_leveraged,medium,0.5391,direct
24111,Accountant (excluding tax accountant),PROFESSIONALS,5498,4600,6695,0.9699,0.3021,0.5806,0.7968,0.5393,very_high,0.1701,moderate,mixed,high,0.8667,direct
21213,Actuary,PROFESSIONALS,7572,4987,13484,0.9347,0.3520,0.6770,0.7631,0.4621,high,0.2228,moderate,mixed,high,0.7056,direct
21471,Aeronautical engineer,PROFESSIONALS,6046,4729,8142,0.5992,0.6863,0.5180,0.8187,0.1539,moderate,0.2130,moderate,ai_leveraged,medium,0.5358,direct
21443,Air-conditioning/Refrigeration engineer,PROFESSIONALS,6503,5419,9106,0.6781,0.7362,0.5272,0.8155,0.1459,low,0.2632,moderate,ai_leveraged,high,0.7667,direct
22141,Anaesthesiologist,PROFESSIONALS,6712,6195,7633,0.4636,0.9554,0.4638,0.8377,0.0173,very_low,0.2054,moderate,ai_leveraged,medium,0.6333,submajor_fallback
25140,Applications/Systems programmer,PROFESSIONALS,6500,6050,7660,0.8253,0.2959,0.6049,0.7883,0.4581,high,0.1477,low,mixed,high,0.7890,direct
26543,"Artistic director (stage, film, television, game and radio)",PROFESSIONALS,5500,4260,7280,0.6504,0.7968,0.5001,0.8250,0.1090,low,0.2592,moderate,ai_leveraged,high,0.7667,direct
21524,Audio and video equipment engineer,PROFESSIONALS,4837,3921,6540,0.5867,0.5178,0.5570,0.8051,0.2277,moderate,0.1692,moderate,ai_leveraged,high,0.8667,direct
22661,Audiologist,PROFESSIONALS,4884,3963,5800,0.5930,0.7692,0.4395,0.8462,0.1158,low,0.2005,moderate,ai_leveraged,high,0.7667,direct
24112,Auditor (accounting),PROFESSIONALS,5575,4875,7693,0.9699,0.3021,0.6555,0.7706,0.5216,very_high,0.1921,moderate,mixed,high,0.9333,direct
26411,Author,PROFESSIONALS,4000,3500,7000,0.7341,0.1471,0.5215,0.8175,0.5119,very_high,0.0563,low,at_risk,high,0.7667,direct
21413,Automation engineer (including robotics engineer),PROFESSIONALS,8588,6350,12539,0.6848,0.7861,0.7327,0.7435,0.1089,low,0.3945,high,ai_leveraged,high,0.8667,direct
21343,Biochemist,PROFESSIONALS,6264,5500,7114,0.6915,0.8128,0.5309,0.8142,0.1054,low,0.2984,moderate,ai_leveraged,high,0.7399,direct
21311,Biologist,PROFESSIONALS,8352,6704,10202,0.7799,0.6720,0.5639,0.8026,0.2053,moderate,0.2956,moderate,ai_leveraged,medium,0.6333,submajor_fallback
21491,Biomedical engineer,PROFESSIONALS,5346,4171,7209,0.5841,0.6783,0.5023,0.8242,0.1549,moderate,0.1990,moderate,ai_leveraged,high,0.7667,direct
21610,Building architect,PROFESSIONALS,6798,5250,10366,0.6561,0.6702,0.5935,0.7923,0.1714,moderate,0.2610,moderate,ai_leveraged,high,0.7613,direct
