ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,estimated_sg_employment_thousands,employment_thousands,employment_basis,employment_family_code,employment_family_total_thousands,employment_weight_within_family,employment_estimate_method,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,task_signal,exposure_v7,bottleneck,displacement_pressure,demand_signal_bonus,demand_persistence,demand_resilience,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,profile,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,exposure_blend_strategy,exposure_agreement,exposure_source_count,exposure_source_weights,signal_conflict,signal_conflict_reasons,confidence_level,confidence_score,confidence_source_coverage,confidence_signal_agreement,confidence_sensitivity,structural_model_version,baseline_v6_exposure,baseline_v6_net_risk,task_primitives_matched_task_weight_share,task_primitives_task_effective_coverage,task_primitives_task_exposure_concentration,task_primitives_method,uncertainty_exposure_p10,uncertainty_exposure_p50,uncertainty_exposure_p90,uncertainty_net_risk_p10,uncertainty_net_risk_p50,uncertainty_net_risk_p90,uncertainty_method,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
31161,Chemical engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4925,3951,6153,2.3,2.3,estimated_sg_submajor_weighted_2025,31,105.4,0.021814,wage_only,derived_from_official_sg,0.87,external_proxy,0.5375,0.0000,0.5375,0.2718,0.3914,0.0000,0.3534,0.1999,0.3656,0.8001,0.3132,high,0.0534,very_low,at_risk,,true,0.5099,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.7639,1.0000,0.4500,0.6500,V7,0.5375,0.3270,0.9402,0.0000,0.0000,anthropic_task_penetration_v1,0.4067,0.5375,0.6670,0.2313,0.3101,0.4051,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
31163,Chemical engineering technician (petrochemicals),ASSOCIATE PROFESSIONALS AND TECHNICIANS,5738,4589,7446,2.5,2.5,estimated_sg_submajor_weighted_2025,31,105.4,0.023546,wage_only,derived_from_official_sg,0.87,external_proxy,0.5375,0.0000,0.5375,0.2718,0.3914,0.0000,0.3632,0.2078,0.3811,0.7922,0.3101,high,0.0557,very_low,at_risk,,true,0.5099,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.7639,1.0000,0.4500,0.6500,V7,0.5375,0.3243,0.9402,0.0000,0.0000,anthropic_task_penetration_v1,0.4067,0.5375,0.6670,0.2293,0.3056,0.4009,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
31111,Chemistry technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4765,3554,6199,2.3,2.3,estimated_sg_submajor_weighted_2025,31,105.4,0.021457,wage_only,derived_from_official_sg,1.07,external_proxy,0.5193,0.0387,0.5233,0.2460,0.3946,0.0000,0.4261,0.2541,0.4701,0.7459,0.2943,moderate,0.0605,very_low,at_risk,,true,0.3473,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.6645,1.0000,0.4500,0.6500,V7,0.5193,0.3087,1.0000,0.3125,0.1238,anthropic_task_penetration_v1,0.3843,0.5233,0.6633,0.2125,0.2942,0.3770,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
31121,Civil engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4310,2990,5720,2.2,2.2,estimated_sg_submajor_weighted_2025,31,105.4,0.020407,wage_only,derived_from_official_sg,0.57,external_proxy,0.4629,0.0933,0.4715,0.4340,0.2669,0.0000,0.3488,0.1993,0.3655,0.8007,0.2137,moderate,0.0748,very_low,stable,,true,-0.106,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.7575,1.0000,0.8500,0.8500,V7,0.4629,0.2189,1.0000,0.0933,1.0000,anthropic_task_penetration_v1,0.4012,0.4715,0.5441,0.1739,0.2141,0.2561,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
31183,Civil/Structural engineering draughtsman,ASSOCIATE PROFESSIONALS AND TECHNICIANS,2819,2471,4000,1.7,1.7,estimated_sg_submajor_weighted_2025,31,105.4,0.016504,wage_only,derived_from_official_sg,0.26,external_proxy,0.3769,0.0933,0.3839,0.6212,0.1454,0.0000,0.2553,0.1307,0.2337,0.8693,0.1264,low,0.0557,very_low,stable,,false,,false,false,reliability_weighted,aligned_mid,2,aioe:0.4745|ilo:0.5255,false,,medium,0.6655,0.5500,0.8500,0.6500,V7,0.3769,0.1278,1.0000,0.0933,1.0000,anthropic_task_penetration_v1,0.3205,0.3839,0.4413,0.0983,0.1252,0.1547,bootstrap_v2,submajor_fallback,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
33311,Clearing and forwarding agent,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4047,3504,4823,8.5,8.5,estimated_sg_submajor_weighted_2025,33,258.9,0.032922,wage_only,derived_from_official_sg,4.55,external_proxy,0.8975,0.1179,0.9187,0.0134,0.9064,0.0000,0.2748,0.1466,0.2648,0.8534,0.7735,very_high,0.0033,very_low,at_risk,,true,-0.0585,false,false,reliability_weighted,consensus_high,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,high_risk_but_positive_labour_market,high,0.8873,1.0000,0.9500,0.8500,V7,0.8975,0.7800,1.0000,0.3508,0.3361,anthropic_task_penetration_v1,0.8824,0.9187,0.9558,0.7116,0.7652,0.8136,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
31412,Clinical research coordinator,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4500,3905,5986,2.2,2.2,estimated_sg_submajor_weighted_2025,31,105.4,0.020852,wage_only,derived_from_official_sg,1.26,external_proxy,0.5195,0.0152,0.5210,0.3672,0.3297,0.0000,0.3719,0.2102,0.3845,0.7898,0.2604,moderate,0.0736,very_low,at_risk,,true,0.0727,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,high_risk_but_positive_labour_market,high,0.8639,1.0000,0.8500,0.6500,V7,0.5195,0.2718,1.0000,0.0477,0.3183,anthropic_task_penetration_v1,0.4903,0.5210,0.5502,0.2295,0.2595,0.2915,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
32530,Community health worker,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3103,3000,4425,1.2,1.2,estimated_sg_submajor_weighted_2025,32,17.1,0.067458,wage_only,derived_from_official_sg,2.72,external_proxy,0.3478,0.0000,0.3478,0.2513,0.2604,0.0000,0.3484,0.1884,0.3413,0.8116,0.2113,moderate,0.0298,very_low,stable,,true,0.2179,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8264,1.0000,0.4500,0.8500,V7,0.3478,0.2204,1.0000,0.0000,0.0000,anthropic_task_penetration_v1,0.2650,0.3478,0.4332,0.1529,0.2112,0.2709,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
35110,Computer systems operator,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5425,4357,8143,3.1,3.1,estimated_sg_submajor_weighted_2025,35,22.4,0.136256,wage_only,derived_from_official_sg,2.33,external_proxy,0.7670,0.0233,0.7706,0.5169,0.3723,0.0000,0.4020,0.2344,0.4315,0.7656,0.2850,moderate,0.1719,very_low,mixed,,true,0.2778,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.7639,1.0000,0.4500,0.6500,V7,0.7670,0.2986,0.9798,0.2652,0.0879,anthropic_task_penetration_v1,0.6795,0.7706,0.8600,0.2350,0.2838,0.3384,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
33493,Crewing executive (ship),ASSOCIATE PROFESSIONALS AND TECHNICIANS,4377,3539,6167,8.9,8.9,estimated_sg_submajor_weighted_2025,33,258.9,0.034238,wage_only,derived_from_official_sg,21.06,external_proxy,0.7775,0.0000,0.7775,0.4189,0.4518,0.0000,0.3201,0.1775,0.3233,0.8225,0.3716,high,0.1053,very_low,at_risk,,true,0.0041,false,false,reliability_weighted,consensus_high,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,high_risk_but_positive_labour_market,high,0.8619,0.8200,0.9500,0.8500,V7,0.7775,0.3861,1.0000,0.0000,0.0000,anthropic_task_penetration_v1,0.7483,0.7775,0.8062,0.3271,0.3704,0.4168,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
