ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,estimated_sg_employment_thousands,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,structural_risk,structural_risk_band,transition_adjusted_risk,transition_adjusted_band,transition_adjusted_impact_type,realized_risk_proxy,adaptation_capacity,adaptation_buffer,demand_fragility,reallocation_capacity,profile,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,exposure_blend_strategy,exposure_agreement,exposure_source_count,exposure_source_weights,signal_conflict,signal_conflict_reasons,confidence_level,confidence_score,confidence_source_coverage,confidence_signal_agreement,confidence_sensitivity,structural_model_version,scoring_basis,baseline_v42_exposure,baseline_v42_net_risk,baseline_v42_risk_band,baseline_v42_augmentation,baseline_v42_impact_type,baseline_v43_exposure,baseline_v43_net_risk,baseline_v43_risk_band,baseline_v43_augmentation,baseline_v43_impact_type,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
12192,Landscape manager,MANAGERS,4300,2800,6000,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,12.28,external_proxy,0.6324,0.8485,0.5353,0.8127,0.0785,low,0.1606,very_low,ai_leveraged,0.0785,low,0.0722,low,ai_leveraged,0.0163,0.4060,0.0812,0.0479,0.3954,leveraged,true,-0.1153,false,prefix,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.9014,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.6729,0.0828,low,0.3056,ai_leveraged,0.6411,0.0789,low,0.2912,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
11201,Managing director/Chief executive officer,MANAGERS,13000,6065,20000,16.8,16.8,estimated_sg_submajor,derived_from_official_sg,34.18,external_proxy,0.6566,0.9358,0.7142,0.7500,0.0318,very_low,0.2443,low,ai_leveraged,0.0318,very_low,0.0288,very_low,ai_leveraged,0.0031,0.4615,0.0923,0.0287,0.7395,leveraged,true,0.169,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8939,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.6291,0.0303,very_low,0.4204,ai_leveraged,0.6698,0.0323,very_low,0.4477,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
13210,Manufacturing manager,MANAGERS,8571,6126,11110,5.1,5.1,estimated_sg_submajor,derived_from_official_sg,5.07,external_proxy,0.6222,0.8547,0.5129,0.8205,0.0748,low,0.1464,very_low,ai_leveraged,0.0748,low,0.0692,low,ai_leveraged,0.0189,0.3789,0.0758,0.0479,0.3954,leveraged,true,-0.0558,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8939,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.6284,0.0749,low,0.2755,ai_leveraged,0.6132,0.0731,low,0.2688,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
12222,Marketing manager,MANAGERS,8841,6000,13061,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,0.25,external_proxy,0.7038,0.7727,0.6336,0.7782,0.1252,low,0.2134,low,ai_leveraged,0.1252,low,0.1138,low,ai_leveraged,0.0125,0.4566,0.0913,0.0324,0.7980,leveraged,true,-0.1368,false,prefix,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8943,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.7180,0.1270,low,0.3515,ai_leveraged,0.7402,0.1309,low,0.3624,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
13493,Media and broadcasting manager,MANAGERS,6010,4745,8074,5.1,5.1,estimated_sg_submajor,derived_from_official_sg,12.28,external_proxy,0.6096,0.8485,0.3899,0.8635,0.0798,low,0.1130,very_low,stable,0.0798,low,0.0727,low,stable,0.0164,0.4473,0.0895,0.0070,0.8900,shielded,true,-0.1153,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8939,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.6473,0.0847,low,0.2142,ai_leveraged,0.6310,0.0825,low,0.2087,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
12214,Merchandising/Category manager,MANAGERS,8746,6000,13320,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.6615,0.7469,0.5653,0.8021,0.1355,low,0.1663,very_low,ai_leveraged,0.1355,low,0.1246,low,ai_leveraged,0.0304,0.4017,0.0803,0.0479,0.3954,leveraged,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.7738,0.1571,moderate,0.3267,ai_leveraged,0.7049,0.1431,low,0.2976,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
13303,"Network, communications and infrastructure manager",MANAGERS,10750,8493,14724,5.1,5.1,estimated_sg_submajor,derived_from_official_sg,1.95,external_proxy,0.5831,0.9902,0.6462,0.7738,0.0045,very_low,0.1821,very_low,ai_leveraged,0.0045,very_low,0.0041,very_low,ai_leveraged,0.0007,0.4175,0.0835,0.0479,0.3954,leveraged,true,-0.2073,prefix,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7803,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.4780,0.0036,very_low,0.3059,ai_leveraged,0.5191,0.0039,very_low,0.3322,ai_leveraged,direct,Graduate Degree,external_proxy,false,false,false,false
12215,Online sales channel manager,MANAGERS,7614,5731,12500,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.6168,0.7469,0.5219,0.8173,0.1287,low,0.1471,very_low,ai_leveraged,0.1287,low,0.1194,low,ai_leveraged,0.0138,0.3610,0.0722,0.0489,0.1015,leveraged,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.7738,0.1601,moderate,0.3016,ai_leveraged,0.6548,0.1355,low,0.2552,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
12121,Personnel/Human resource manager,MANAGERS,8197,5777,12919,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,6.14,external_proxy,0.3984,0.7219,0.5641,0.8026,0.0889,low,0.1086,very_low,stable,0.0889,low,0.0814,low,stable,0.0121,0.4241,0.0848,0.0000,1.0000,shielded,true,-0.0382,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.6853,0.1529,moderate,0.2791,ai_leveraged,0.4654,0.1039,low,0.1895,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
12131,Policy manager,MANAGERS,12053,9098,15278,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,2.23,external_proxy,0.5753,0.9715,0.6810,0.7617,0.0126,very_low,0.1816,very_low,ai_leveraged,0.0126,very_low,0.0116,very_low,ai_leveraged,0.0023,0.4050,0.0810,0.0479,0.3954,leveraged,true,-0.1946,prefix,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.9014,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.4501,0.0098,very_low,0.2978,ai_leveraged,0.5059,0.0110,very_low,0.3347,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
