ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,estimated_sg_employment_thousands,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,structural_risk,structural_risk_band,transition_adjusted_risk,transition_adjusted_band,transition_adjusted_impact_type,realized_risk_proxy,adaptation_capacity,adaptation_buffer,demand_fragility,reallocation_capacity,profile,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,exposure_blend_strategy,exposure_agreement,exposure_source_count,exposure_source_weights,signal_conflict,signal_conflict_reasons,confidence_level,confidence_score,confidence_source_coverage,confidence_signal_agreement,confidence_sensitivity,structural_model_version,scoring_basis,baseline_v42_exposure,baseline_v42_net_risk,baseline_v42_risk_band,baseline_v42_augmentation,baseline_v42_impact_type,baseline_v43_exposure,baseline_v43_net_risk,baseline_v43_risk_band,baseline_v43_augmentation,baseline_v43_impact_type,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
21331,Environmental officer (environmental protection),PROFESSIONALS,7210,5500,11550,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,1.24,external_proxy,0.5798,0.7647,0.5599,0.8040,0.1104,low,0.1268,very_low,ai_leveraged,0.1104,low,0.1016,low,ai_leveraged,0.0308,0.3965,0.0793,0.0361,0.3488,leveraged,true,-0.5922,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7902,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.5538,0.1048,low,0.2371,ai_leveraged,0.5446,0.1030,low,0.2332,ai_leveraged,direct,Graduate Degree,external_proxy,false,false,false,false
22632,Environmental officer (public health),PROFESSIONALS,8752,6528,11000,1.8,1.8,estimated_sg_submajor,derived_from_official_sg,1.27,external_proxy,0.5486,0.9100,0.6049,0.7883,0.0390,very_low,0.1654,very_low,ai_leveraged,0.0390,very_low,0.0356,very_low,ai_leveraged,0.0085,0.4251,0.0850,0.0046,0.7850,leveraged,true,-0.2312,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7964,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.6845,0.0486,very_low,0.3768,ai_leveraged,0.5576,0.0396,very_low,0.3069,ai_leveraged,direct,Graduate Degree,external_proxy,false,strict,false,false
24232,Executive search consultant,PROFESSIONALS,5709,4750,8000,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,7.07,external_proxy,0.7964,0.6123,0.4101,0.8565,0.2651,moderate,0.1349,very_low,mixed,0.2651,moderate,0.2398,moderate,ai_leveraged,0.0446,0.4760,0.0952,0.0130,0.9586,leveraged,true,-0.1685,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,high_risk_but_positive_labour_market,high,0.8500,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.8386,0.2784,moderate,0.2106,mixed,0.8597,0.2855,moderate,0.2159,mixed,direct,University Degree,external_proxy,false,false,false,false
21631,Fashion designer,PROFESSIONALS,3500,2552,4868,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,0.82,external_proxy,0.5566,0.6907,0.5051,0.8232,0.1425,low,0.1026,very_low,stable,0.1425,low,0.1318,low,stable,0.0380,0.3773,0.0755,0.0304,0.3389,shielded,true,-0.3346,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7245,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.5495,0.1399,low,0.1917,ai_leveraged,0.5373,0.1368,low,0.1875,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
24131,"Financial analyst (e.g. equities analyst, credit analyst, investment research analyst)",PROFESSIONALS,7500,5460,10784,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,5.16,external_proxy,0.8049,0.3119,0.6705,0.7653,0.4239,high,0.1545,very_low,mixed,0.4239,high,0.3859,high,mixed,0.0491,0.4477,0.0895,0.0000,0.5000,retooling,true,0.0353,prefix,prefix,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.7714,1.0000,0.4500,0.6500,V5,posterior_ensemble_fallback_v5,0.8808,0.4638,high,0.1842,mixed,0.8808,0.4638,high,0.1842,mixed,direct,University Degree,external_proxy,false,false,false,false
24135,Financial product structurer,PROFESSIONALS,12321,8120,17053,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,5.16,external_proxy,0.7938,0.3119,0.8092,0.7168,0.3923,high,0.1578,very_low,mixed,0.3923,high,0.3561,high,mixed,0.1003,0.4612,0.0922,0.0116,0.9371,retooling,true,0.0353,prefix,prefix,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.8014,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.8808,0.4344,high,0.2223,mixed,0.8689,0.4286,high,0.2193,mixed,direct,University Degree,external_proxy,false,false,false,false
24121,Financial/Investment adviser (e.g. relationship manager),PROFESSIONALS,8000,5225,13165,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,5.85,external_proxy,0.7159,0.5927,0.7328,0.7435,0.2168,moderate,0.2361,low,ai_leveraged,0.2168,moderate,0.1965,moderate,ai_leveraged,0.0179,0.4685,0.0937,0.0000,0.5000,leveraged,true,0.1056,exact,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8564,1.0000,0.4500,0.8500,V5,posterior_ensemble_fallback_v5,0.7491,0.2269,moderate,0.3253,ai_leveraged,0.7491,0.2269,moderate,0.3253,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
21723,Flying instructor (except air force),PROFESSIONALS,20000,8050,30000,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,1.09,external_proxy,0.3563,0.9813,0.6675,0.7664,0.0051,very_low,0.0903,very_low,stable,0.0051,very_low,0.0048,very_low,stable,0.0011,0.3298,0.0660,0.0000,0.5000,shielded,true,-0.123,false,false,reliability_weighted,consensus_low,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,,high,0.8528,0.8200,0.9500,0.8500,V5,posterior_ensemble_fallback_v5,0.2078,0.0030,very_low,0.1361,ai_leveraged,0.2078,0.0030,very_low,0.1361,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
21454,Food and drink technologist,PROFESSIONALS,4261,3187,6520,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,2.69,external_proxy,0.4062,0.6043,0.6811,0.7616,0.1224,low,0.1003,very_low,stable,0.1224,low,0.1112,low,stable,0.0367,0.4583,0.0917,0.0000,1.0000,shielded,true,-0.2657,exact,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8264,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.6459,0.1947,moderate,0.2659,ai_leveraged,0.4437,0.1337,low,0.1826,ai_leveraged,direct,University Degree,external_proxy,false,strict,false,false
24152,Foreign exchange broker,PROFESSIONALS,19750,15010,27266,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,6.18,external_proxy,0.6854,0.3387,0.7278,0.7453,0.3381,high,0.1130,very_low,at_risk,0.3381,high,0.3094,high,at_risk,0.1005,0.4233,0.0847,0.0045,0.9280,balanced,true,0.0894,prefix,false,reliability_weighted,divergent,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.6989,0.8200,0.4500,0.6500,V5,posterior_task_aware_v5,0.8258,0.4070,high,0.2035,mixed,0.7405,0.3649,high,0.1825,mixed,direct,University Degree,external_proxy,false,false,false,false
24142,Foreign exchange dealer,PROFESSIONALS,13583,8863,20000,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,3.54,external_proxy,0.4678,0.4109,0.6977,0.7558,0.2083,moderate,0.0926,very_low,stable,0.2083,moderate,0.1899,moderate,stable,0.0646,0.4411,0.0882,0.0000,1.0000,balanced,true,-0.001,false,false,reliability_weighted,divergent,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,divergent_exposure_sources,high,0.7520,0.8200,0.4500,0.6500,V5,posterior_task_aware_v5,0.8175,0.3640,high,0.2343,mixed,0.5561,0.2476,moderate,0.1594,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
24133,Fund/Portfolio manager (including asset allocator),PROFESSIONALS,12060,7700,19500,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,5.16,external_proxy,0.7945,0.3119,0.7766,0.7282,0.3989,high,0.1518,very_low,mixed,0.3989,high,0.3621,high,mixed,0.1022,0.4614,0.0923,0.0116,0.9371,retooling,true,0.0353,prefix,prefix,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.8014,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.8808,0.4413,high,0.2134,mixed,0.8689,0.4354,high,0.2105,mixed,direct,University Degree,external_proxy,false,false,false,false
22611,General dental practitioner,PROFESSIONALS,5163,5001,5540,1.8,1.8,estimated_sg_submajor,derived_from_official_sg,0.95,external_proxy,0.4127,1.0000,0.3914,0.8630,0.0000,very_low,0.0500,very_low,stable,0.0000,very_low,0.0000,very_low,stable,0.0000,0.3223,0.0645,0.0313,0.1027,shielded,true,0.0933,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8754,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.1843,0.0000,very_low,0.0721,stable,0.2296,0.0000,very_low,0.0899,stable,direct,Graduate Degree,external_proxy,false,strict,false,false
22110,General practitioner/physician,PROFESSIONALS,6335,5749,10021,1.8,1.8,estimated_sg_submajor,derived_from_official_sg,0.65,external_proxy,0.5168,0.9554,0.5203,0.8179,0.0190,very_low,0.0918,very_low,stable,0.0190,very_low,0.0175,very_low,stable,0.0043,0.3928,0.0786,0.0438,0.5508,shielded,true,-0.3485,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,medium,0.7339,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.2388,0.0087,very_low,0.1187,stable,0.3236,0.0118,very_low,0.1608,ai_leveraged,submajor_fallback,Graduate Degree,external_proxy,false,strict,false,false
22131,General surgeon,PROFESSIONALS,5580,4530,6290,1.8,1.8,estimated_sg_submajor,derived_from_official_sg,0.18,external_proxy,0.3708,0.9554,0.4399,0.8460,0.0140,very_low,0.0649,very_low,stable,0.0140,very_low,0.0129,very_low,stable,0.0032,0.3890,0.0778,0.0000,0.5000,shielded,true,-0.3485,false,false,reliability_weighted,divergent,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,divergent_exposure_sources,medium,0.6868,0.8200,0.4500,0.8500,V5,posterior_ensemble_fallback_v5,0.2319,0.0087,very_low,0.0975,stable,0.2319,0.0087,very_low,0.0975,stable,submajor_fallback,Graduate Degree,external_proxy,false,strict,false,false
21661,Graphic designer,PROFESSIONALS,3765,3010,4496,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,2.47,external_proxy,0.7106,0.4813,0.3410,0.8806,0.3264,high,0.0737,very_low,at_risk,0.3264,high,0.2990,moderate,at_risk,0.0892,0.4200,0.0840,0.0319,0.6991,retooling,true,0.0848,false,false,reliability_weighted,consensus_high,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,high_risk_but_positive_labour_market,high,0.7562,1.0000,0.9500,0.6500,V5,posterior_task_aware_v5,0.7459,0.3407,high,0.1224,mixed,0.7443,0.3400,high,0.1222,mixed,direct,University Degree,external_proxy,false,false,false,false
24231,Human resource consultant (excluding executive search consultant),PROFESSIONALS,8800,6196,20000,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,7.07,external_proxy,0.4770,0.6123,0.6293,0.7798,0.1442,low,0.1295,very_low,ai_leveraged,0.1442,low,0.1318,low,ai_leveraged,0.0288,0.4309,0.0862,0.0000,1.0000,leveraged,true,-0.1685,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8500,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.8386,0.2535,moderate,0.3231,mixed,0.5700,0.1723,moderate,0.2196,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
21652,Hydrographic surveyor,PROFESSIONALS,5450,3975,7882,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,0.19,external_proxy,0.5187,0.2843,0.4294,0.8497,0.3155,high,0.0401,very_low,at_risk,0.3155,high,0.2942,moderate,at_risk,0.0954,0.3371,0.0674,0.0005,0.1030,retooling,true,-0.0147,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,high_risk_but_positive_labour_market,high,0.8639,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.6767,0.4115,high,0.0826,at_risk,0.5235,0.3184,high,0.0639,at_risk,direct,University Degree,external_proxy,false,false,false,false
25152,ICT auditor,PROFESSIONALS,12311,10512,15582,4.2,4.2,estimated_sg_submajor,derived_from_official_sg,0,external_proxy,0.7720,0.2906,0.5704,0.8004,0.4403,high,0.1023,very_low,at_risk,0.4403,high,0.4026,high,at_risk,0.1281,0.4280,0.0856,0.0243,0.8618,retooling,false,,false,false,reliability_weighted,insufficient_data,1,aioe:1.0000,false,high_risk_but_positive_labour_market,medium,0.5061,0.1000,0.2500,0.6500,V5,posterior_task_aware_v5,0.8342,0.4737,high,0.1383,mixed,0.8250,0.4684,high,0.1367,mixed,direct,University Degree,external_proxy,false,false,false,false
25112,ICT business process consultant/Business analyst,PROFESSIONALS,8500,6264,11043,4.2,4.2,estimated_sg_submajor,derived_from_official_sg,0,external_proxy,0.7884,0.4439,0.5328,0.8135,0.3577,high,0.1259,very_low,mixed,0.3577,high,0.3249,high,mixed,0.0619,0.4586,0.0917,0.0157,0.9397,retooling,false,,false,false,reliability_weighted,consensus_high,2,aioe:0.4745|ilo:0.5255,false,high_risk_but_positive_labour_market,medium,0.7805,0.5500,0.9500,0.6500,V5,posterior_task_aware_v5,0.8065,0.3649,high,0.1907,mixed,0.8380,0.3791,high,0.1982,mixed,direct,University Degree,external_proxy,false,false,false,false
25151,ICT quality assurance specialist,PROFESSIONALS,7666,4797,14424,4.2,4.2,estimated_sg_submajor,derived_from_official_sg,0,external_proxy,0.7893,0.2906,0.6337,0.7782,0.4373,high,0.1094,very_low,at_risk,0.4373,high,0.3959,high,at_risk,0.1566,0.4737,0.0947,0.0206,0.9040,retooling,false,,false,false,reliability_weighted,insufficient_data,1,aioe:1.0000,false,high_risk_but_positive_labour_market,medium,0.5061,0.1000,0.2500,0.6500,V5,posterior_task_aware_v5,0.8342,0.4606,high,0.1536,mixed,0.8518,0.4702,high,0.1569,mixed,direct,University Degree,external_proxy,false,false,false,false
24333,ICT sales and services professional,PROFESSIONALS,8433,4300,16132,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,5.72,external_proxy,0.7727,0.5731,0.6317,0.7789,0.2578,moderate,0.1879,very_low,mixed,0.2578,moderate,0.2329,moderate,ai_leveraged,0.0573,0.4832,0.0966,0.0195,0.9191,leveraged,true,0.166,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.6603,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.7818,0.2600,moderate,0.2830,mixed,0.8128,0.2703,moderate,0.2942,mixed,direct,University Degree,external_proxy,false,partial,false,false
26343,Industrial and organisational psychologist,PROFESSIONALS,6706,5277,8762,1.9,1.9,estimated_sg_submajor,derived_from_official_sg,5.95,external_proxy,0.6171,0.7406,0.6145,0.7849,0.1261,low,0.1523,very_low,ai_leveraged,0.1261,low,0.1147,low,ai_leveraged,0.0345,0.4516,0.0903,0.0197,0.8249,leveraged,true,-0.2707,prefix,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7210,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.4740,0.0965,low,0.2157,ai_leveraged,0.5807,0.1182,low,0.2643,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
21442,Industrial machinery and tools engineer,PROFESSIONALS,6000,4642,7620,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,4.1,external_proxy,0.5320,0.7362,0.3998,0.8601,0.1208,low,0.0858,very_low,stable,0.1208,low,0.1105,low,stable,0.0384,0.4251,0.0850,0.0053,0.7612,shielded,true,-0.1104,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.6275,0.1424,low,0.1847,ai_leveraged,0.5362,0.1217,low,0.1578,ai_leveraged,direct,University Degree,external_proxy,false,strict,false,false
24234,Industrial relations officer,PROFESSIONALS,5292,4078,6528,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,7.07,external_proxy,0.6021,0.6123,0.4738,0.8342,0.1949,moderate,0.1064,very_low,stable,0.1949,moderate,0.1779,moderate,stable,0.0597,0.4363,0.0873,0.0052,0.7616,balanced,true,-0.1685,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8425,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.8386,0.2712,moderate,0.2432,mixed,0.6630,0.2144,moderate,0.1923,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
21493,Industrial safety engineer,PROFESSIONALS,6602,4649,9009,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,2.22,external_proxy,0.4992,0.6783,0.4896,0.8286,0.1332,low,0.0867,very_low,stable,0.1332,low,0.1217,low,stable,0.0424,0.4305,0.0861,0.0053,0.7612,shielded,true,-0.0524,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8639,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.5322,0.1419,low,0.1767,ai_leveraged,0.4764,0.1270,low,0.1582,ai_leveraged,direct,University Degree,external_proxy,false,strict,false,false
26112,"In-house legal counsel (except judiciary, ministries and statutory boards)",PROFESSIONALS,17972,12000,22218,1.9,1.9,estimated_sg_submajor,derived_from_official_sg,6.18,external_proxy,0.6872,0.8913,0.5819,0.7963,0.0597,low,0.2031,low,ai_leveraged,0.0597,low,0.0547,low,ai_leveraged,0.0145,0.4197,0.0839,0.0241,0.7757,leveraged,true,-0.142,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7849,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.6844,0.0593,low,0.3550,ai_leveraged,0.6788,0.0588,low,0.3520,ai_leveraged,direct,Graduate Degree,external_proxy,false,strict,false,false
21525,Instrumentation engineer,PROFESSIONALS,6945,4142,8775,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,1.34,external_proxy,0.6395,0.5178,0.6662,0.7668,0.2368,moderate,0.1314,very_low,ai_leveraged,0.2368,moderate,0.2148,moderate,ai_leveraged,0.0617,0.4656,0.0931,0.0085,0.8901,leveraged,true,0.0809,exact,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.9164,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.6403,0.2368,moderate,0.2209,ai_leveraged,0.6594,0.2438,moderate,0.2275,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
24160,Insurance underwriter,PROFESSIONALS,6991,4800,12200,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,1.78,external_proxy,0.7073,0.1533,0.5538,0.8062,0.4906,high,0.0564,very_low,at_risk,0.4906,high,0.4577,high,at_risk,0.1649,0.3358,0.0672,0.0905,0.0985,retooling,true,-0.3713,false,false,reliability_weighted,divergent,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.7243,0.8200,0.4500,0.6500,V5,posterior_task_aware_v5,0.7735,0.5280,very_high,0.0657,at_risk,0.7349,0.5016,very_high,0.0624,at_risk,direct,University Degree,external_proxy,false,false,false,false
24251,Intellectual property agent,PROFESSIONALS,4464,3111,5300,5.3,5.3,estimated_sg_submajor,derived_from_official_sg,2.99,external_proxy,0.7886,0.0472,0.3471,0.8785,0.6677,very_high,0.0304,very_low,at_risk,0.6677,very_high,0.6077,very_high,at_risk,0.2264,0.4497,0.0899,0.0643,0.6979,retooling,true,-0.0067,false,false,reliability_weighted,consensus_high,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,high_risk_but_positive_labour_market,high,0.8693,0.8200,0.9500,0.8500,V5,posterior_task_aware_v5,0.8421,0.7049,very_high,0.0138,at_risk,0.8444,0.7068,very_high,0.0138,at_risk,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
21664,Interaction designer,PROFESSIONALS,7883,5913,11400,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,2.47,external_proxy,0.6272,0.4813,0.5661,0.8019,0.2623,moderate,0.1030,very_low,at_risk,0.2623,moderate,0.2431,moderate,stable,0.0386,0.3651,0.0730,0.0304,0.3389,balanced,true,0.0848,false,false,reliability_weighted,consensus_high,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,high_risk_but_positive_labour_market,high,0.7562,1.0000,0.9500,0.6500,V5,posterior_task_aware_v5,0.7459,0.3102,high,0.2032,mixed,0.6608,0.2749,moderate,0.1801,mixed,direct,University Degree,external_proxy,false,false,false,false
22124,Internal medicine physician,PROFESSIONALS,6391,6071,8186,1.8,1.8,estimated_sg_submajor,derived_from_official_sg,2.54,external_proxy,0.5856,0.9554,0.4613,0.8386,0.0220,very_low,0.1117,very_low,stable,0.0220,very_low,0.0201,very_low,stable,0.0048,0.4272,0.0854,0.0304,0.6957,shielded,true,-0.0056,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,medium,0.7864,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.4267,0.0159,very_low,0.1881,ai_leveraged,0.4489,0.0168,very_low,0.1978,ai_leveraged,submajor_fallback,Graduate Degree,external_proxy,false,strict,false,false
25232,IT infrastructure specialist,PROFESSIONALS,7881,5718,10740,4.2,4.2,estimated_sg_submajor,derived_from_official_sg,0,external_proxy,0.6984,0.3253,0.6118,0.7859,0.3703,high,0.1084,very_low,at_risk,0.3703,high,0.3390,high,at_risk,0.0389,0.4227,0.0845,0.0000,0.5000,retooling,false,,prefix,false,reliability_weighted,divergent,2,aioe:0.4745|ilo:0.5255,true,high_risk_but_positive_labour_market|divergent_exposure_sources,medium,0.6730,0.5500,0.4500,0.6500,V5,posterior_ensemble_fallback_v5,0.7113,0.3771,high,0.1416,mixed,0.7113,0.3771,high,0.1416,mixed,direct,University Degree,external_proxy,false,false,false,false
26421,Journalist,PROFESSIONALS,6000,4779,8423,1.9,1.9,estimated_sg_submajor,derived_from_official_sg,0.69,external_proxy,0.7277,0.7014,0.4355,0.8476,0.1849,moderate,0.1384,very_low,ai_leveraged,0.1849,moderate,0.1682,moderate,ai_leveraged,0.0543,0.4516,0.0903,0.0204,0.7704,leveraged,true,-0.023,false,false,reliability_weighted,consensus_high,3,aioe:0.3126|anthropic:0.3413|ilo:0.3461,false,,high,0.8422,0.8200,0.9500,0.6500,V5,posterior_task_aware_v5,0.8254,0.2089,moderate,0.2522,ai_leveraged,0.7916,0.2004,moderate,0.2418,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
21651,Land surveyor,PROFESSIONALS,5000,3185,6351,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,0.19,external_proxy,0.5197,0.2843,0.4192,0.8533,0.3174,high,0.0391,very_low,at_risk,0.3174,high,0.2961,moderate,at_risk,0.0960,0.3368,0.0674,0.0005,0.1030,retooling,true,-0.0147,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,high_risk_but_positive_labour_market,high,0.8639,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.6767,0.4132,high,0.0807,at_risk,0.5235,0.3197,high,0.0624,at_risk,direct,University Degree,external_proxy,false,false,false,false
21621,Landscape architect,PROFESSIONALS,6145,5500,10102,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,0.31,external_proxy,0.3477,0.6684,0.5461,0.8089,0.0933,low,0.0650,very_low,stable,0.0933,low,0.0851,low,stable,0.0249,0.4382,0.0876,0.0000,1.0000,shielded,true,-0.5891,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8264,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.4720,0.1266,low,0.1723,ai_leveraged,0.3319,0.0890,low,0.1212,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
26221,Librarian,PROFESSIONALS,6659,5352,8470,1.9,1.9,estimated_sg_submajor,derived_from_official_sg,1.99,external_proxy,0.7314,0.6667,0.4114,0.8560,0.2095,moderate,0.1262,very_low,ai_leveraged,0.2095,moderate,0.1907,moderate,ai_leveraged,0.0623,0.4478,0.0896,0.0224,0.8121,leveraged,true,0.1581,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,medium,0.7339,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.7851,0.2240,moderate,0.2153,ai_leveraged,0.7843,0.2238,moderate,0.2151,ai_leveraged,submajor_fallback,University Degree,external_proxy,false,false,false,false
21513,Lift engineer,PROFESSIONALS,4842,3811,6622,2.5,2.5,estimated_sg_submajor,derived_from_official_sg,2.02,external_proxy,0.6245,0.5597,0.3929,0.8625,0.2375,moderate,0.0811,very_low,stable,0.2375,moderate,0.2163,moderate,stable,0.0673,0.4464,0.0893,0.0085,0.8901,balanced,true,-0.0508,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7158,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.5977,0.2270,moderate,0.1314,ai_leveraged,0.6334,0.2406,moderate,0.1393,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
