ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,confidence_level,confidence_score,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
12191,Premises and facilities maintenance manager (excluding building security manager),MANAGERS,6542,5000,8704,8.5,estimated_sg_submajor,derived_from_official_sg,12.28,external_proxy,0.6743,0.8485,0.5084,0.8221,0.0840,low,0.2909,low,ai_leveraged,true,-0.1153,false,prefix,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
13410,Pre-school education manager,MANAGERS,6080,2749,8434,5.1,estimated_sg_submajor,derived_from_official_sg,3.25,external_proxy,0.3303,0.6176,0.5457,0.8090,0.1022,low,0.1113,very_low,stable,true,-0.1658,false,false,high,0.8333,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
13242,Procurement/Purchasing manager,MANAGERS,8367,6000,12248,5.1,estimated_sg_submajor,derived_from_official_sg,1.99,external_proxy,0.6472,0.8788,0.5471,0.8085,0.0634,low,0.3112,low,ai_leveraged,true,0.005,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13100,Production manager in agriculture and fisheries,MANAGERS,6930,5580,10389,5.1,estimated_sg_submajor,derived_from_official_sg,7.7,external_proxy,0.2157,0.9189,0.4879,0.8292,0.0145,very_low,0.0967,very_low,stable,true,-0.1586,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13292,Quality control/assurance manager,MANAGERS,9100,6174,14094,5.1,estimated_sg_submajor,derived_from_official_sg,7.12,external_proxy,0.5936,0.8690,0.5963,0.7913,0.0615,low,0.3076,low,ai_leveraged,true,-0.159,false,false,high,0.7855,direct,University Degree,external_proxy,false,false,false,false
12213,Regional sales manager,MANAGERS,11000,7245,17850,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.7762,0.7469,0.6518,0.7719,0.1517,moderate,0.3778,low,ai_leveraged,true,-0.0499,false,false,high,0.8242,direct,University Degree,external_proxy,false,false,false,false
12230,Research and development manager,MANAGERS,10896,7061,17189,8.5,estimated_sg_submajor,derived_from_official_sg,7.7,external_proxy,0.3529,0.9189,0.6502,0.7724,0.0221,very_low,0.2109,low,ai_leveraged,true,-0.1586,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
14121,Restaurant manager,MANAGERS,4000,3000,4710,3.7,estimated_sg_submajor,derived_from_official_sg,7.22,external_proxy,0.4365,0.6970,0.4024,0.8592,0.1137,low,0.1224,very_low,ai_leveraged,true,0.1257,false,false,high,0.7806,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
14201,Retail manager,MANAGERS,4500,3517,6420,3.7,estimated_sg_submajor,derived_from_official_sg,23.68,external_proxy,0.6611,0.7585,0.4534,0.8413,0.1343,low,0.2273,low,ai_leveraged,true,0.3157,false,false,medium,0.6057,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
12133,Risk management manager,MANAGERS,11946,7558,18332,8.5,estimated_sg_submajor,derived_from_official_sg,2.23,external_proxy,0.4522,0.9715,0.7483,0.7381,0.0095,very_low,0.3287,low,ai_leveraged,true,-0.1946,prefix,false,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
12211,Sales manager,MANAGERS,7049,5000,10353,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.7762,0.7469,0.5225,0.8171,0.1605,moderate,0.3029,low,ai_leveraged,true,-0.0499,false,false,high,0.8242,direct,University Degree,external_proxy,false,false,false,false
13451,School principal,MANAGERS,6967,5755,8853,5.1,estimated_sg_submajor,derived_from_official_sg,2.58,external_proxy,0.4624,0.9786,0.4252,0.8512,0.0084,very_low,0.1924,very_low,ai_leveraged,true,-0.3348,false,false,medium,0.6736,direct,Graduate Degree,external_proxy,false,false,false,false
12194,Security manager,MANAGERS,6729,3800,10000,8.5,estimated_sg_submajor,derived_from_official_sg,12.28,external_proxy,0.6743,0.8485,0.6014,0.7895,0.0807,low,0.3441,low,ai_leveraged,true,-0.1153,false,prefix,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
13441,Social service manager,MANAGERS,5643,4130,8319,5.1,estimated_sg_submajor,derived_from_official_sg,0.55,external_proxy,0.4879,0.7077,0.4890,0.8288,0.1182,low,0.1688,very_low,ai_leveraged,false,,false,false,high,0.8000,direct,Graduate Degree,external_proxy,false,false,false,false
13302,Software and applications manager,MANAGERS,10779,7620,15816,5.1,estimated_sg_submajor,derived_from_official_sg,1.95,external_proxy,0.4764,0.9902,0.7723,0.7297,0.0034,very_low,0.3643,low,ai_leveraged,true,-0.2073,exact,false,high,0.8185,direct,Graduate Degree,external_proxy,false,false,false,false
