DataSeries,20253Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q,20074Q,20073Q,20072Q,20071Q,20064Q,20063Q,20062Q,20061Q,20054Q,20053Q,20052Q,20051Q,20044Q,20043Q,20042Q,20041Q,20034Q,20033Q,20032Q,20031Q,20024Q,20023Q,20022Q,20021Q,20014Q,20013Q,20012Q,20011Q,20004Q,20003Q,20002Q,20001Q,19994Q,19993Q,19992Q,19991Q,19984Q,19983Q,19982Q,19981Q,19974Q,19973Q,19972Q,19971Q,19964Q,19963Q,19962Q,19961Q,19954Q,19953Q,19952Q,19951Q,19944Q,19943Q,19942Q,19941Q,19934Q,19933Q,19932Q,19931Q,19924Q,19923Q,19922Q,19921Q,19914Q,19913Q,19912Q,19911Q,19904Q,19903Q,19902Q,19901Q
"            Legal, Accounting & Management Services",3300,3000,3500,3900,2500,3900,4000,3600,3100,4300,4300,4300,5000,5600,6200,5400,5100,4200,2700,2200,2600,2100,1700,2100,2600,2500,2500,2200,2500,2100,1700,1300,1700,1700,1900,1700,2100,2000,1800,1900,2100,2500,2900,2400,2100,1500,1700,1100,1500,1200,900,900,1400,1000,1000,900,1300,1100,1100,1000,1200,900,900,800,700,400,300,600,800,1100,1400,1500,1000,1300,900,1100,700,1000,900,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Architectural & Engineering Services,1300,1600,1700,1100,1000,1900,1900,1600,1600,1900,2200,2600,2200,3200,2600,2400,2100,2200,1200,800,800,400,800,800,1100,1100,800,1200,1000,1000,1100,800,700,600,500,500,700,1000,700,800,900,800,800,800,1200,900,800,700,1100,1100,1100,800,900,800,600,800,700,600,600,500,600,600,400,500,600,300,900,700,900,1300,1600,1300,1100,1000,700,700,500,600,400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Other Professional Services,900,1200,1000,800,700,1100,1300,900,900,1200,1200,1000,1100,1500,1000,800,1000,700,800,500,400,300,300,500,500,400,700,500,900,900,700,600,700,600,300,400,600,800,800,600,700,900,900,900,600,600,600,600,700,700,900,700,700,600,600,800,700,700,700,600,700,400,300,300,300,300,400,500,600,500,500,400,600,700,400,400,300,400,500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Administrative And Support Services,3300,5900,5100,5500,4600,5100,5400,5300,6200,6300,8400,7800,6900,8100,7500,7200,7600,6200,3700,3800,4600,4200,3200,4200,4100,3500,3900,5300,5900,4500,4200,4200,5200,4900,4200,4800,5900,4200,4500,4800,5300,5600,5500,5100,5900,5200,5300,5100,5400,3400,3300,3300,4800,3300,3300,4200,4900,4400,4200,3800,4300,2800,2000,2100,3300,1600,1800,2700,3500,3000,3000,3200,3400,2100,2100,2100,2200,1800,1800,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Security & Investigation,900,1100,1400,1200,1400,1400,1500,1500,1700,1400,2000,2000,1900,2100,2100,1800,1700,1800,1600,1300,1900,1500,1100,1400,1600,1300,1600,2400,2100,1500,1400,1600,2300,2000,2000,2200,2600,2000,2300,2400,2500,2300,2500,2000,2200,2100,1900,1900,2000,1200,1200,1300,1600,1600,1500,2300,2300,2300,2300,2100,2100,1600,1000,1100,1800,1100,1100,1500,1500,1900,1900,2100,2000,1500,1200,1100,1100,800,1000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Cleaning & Landscaping,1300,3400,2200,2900,2200,2200,2000,2400,2200,2500,3200,3000,2300,1900,2300,2100,2800,2300,1200,1500,1600,1200,800,1300,1200,1000,1100,1400,2500,1800,1800,1400,1800,1600,1300,1400,2000,1200,1100,1300,1600,1800,1800,1700,1800,1800,1700,1600,1900,1300,1100,800,1600,1100,1200,1200,1400,1100,900,800,1000,400,300,200,700,300,400,700,1100,300,400,600,400,200,500,400,600,400,600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Other Administrative & Support Services,1100,1400,1500,1400,1000,1500,1800,1300,2200,2400,3200,2800,2700,4200,3100,3300,3100,2000,1000,1000,1200,1500,1300,1500,1300,1200,1300,1600,1300,1200,1000,1300,1000,1300,900,1200,1300,1000,1100,1200,1200,1500,1200,1400,1900,1300,1800,1500,1500,1000,1000,1100,1500,700,700,800,1200,1000,1100,900,1100,700,700,700,700,300,400,400,900,800,700,500,1000,300,500,500,500,600,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"        Community, Social And Personal Services",15300,17500,18800,17700,15600,18600,17100,17000,19500,23200,21100,21100,22600,23400,22000,19000,19200,16900,14700,13600,12900,10300,9800,11000,11400,10200,10800,10000,10700,11900,10300,9300,11000,10000,9300,9700,11500,11200,10700,10200,12000,14300,14000,13200,13400,15100,13000,12300,13300,12800,11200,10300,12600,10800,11000,12600,12000,14100,11800,10100,11200,11800,9200,11400,10000,10000,9400,10200,10400,8800,7900,6800,7100,8400,7200,6400,6600,6000,5000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Public Administration & Education,8100,9400,10200,8700,7700,10200,9000,8600,9000,11500,9200,9600,10300,10900,10200,9500,9500,9700,8200,7300,7000,6200,5000,5300,5800,5000,5500,4500,5300,6300,4900,4900,5300,5200,4400,4800,5600,6500,4800,4500,6000,7300,5900,5900,6500,7300,6400,6000,7100,7100,5700,5800,7100,6000,6400,7200,7200,8000,6100,6400,7000,6900,5800,6900,7000,7600,7300,7800,7800,5800,5300,4500,4500,5500,4400,3900,4300,4100,3200,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Health & Social Services,4500,5200,5900,6000,5600,5900,5400,5800,7200,7700,7800,7400,7800,8100,7700,6500,6600,5000,4600,4600,4200,3200,3900,3800,3700,3500,3600,3200,3500,3300,3100,2700,2800,2700,2700,3000,3500,2700,3100,2600,3000,4300,4600,4200,4300,5100,4100,3600,3000,3100,2600,2100,2700,2600,2500,2500,2200,3100,2600,1600,1500,2200,2100,1900,1500,1600,1400,1400,1300,1700,1400,1300,1400,1600,1500,1300,1200,1200,1100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
